"Name","alpha_error","decorr_coeff","distance_top_down","error_nb_updates","experiment_name","random_seed","symmetric_topdown","topdown","topdown_coeff","train_end_to_end","train_with_supervision","use_negative_samples","Created","Runtime","End Time","ID","Notes","State","Updated","Cosine Metrics/cross_class_mean_cosine","Cosine Metrics/ratio","Cosine Metrics/within_class_mean_cosine","Layerwise train losses/Final layer decorr loss","Layerwise train losses/Final layer pull loss","Layerwise train losses/Final layer push loss","Layerwise train losses/Layer 1 decorr loss","Layerwise train losses/Layer 1 pull loss","Layerwise train losses/Layer 1 push loss","Layerwise train losses/Layer 1 topdown loss","Layerwise train losses/Layer 2 decorr loss","Layerwise train losses/Layer 2 pull loss","Layerwise train losses/Layer 2 push loss","Layerwise train losses/Layer 2 topdown loss","Layerwise train losses/Layer 3 decorr loss","Layerwise train losses/Layer 3 pull loss","Layerwise train losses/Layer 3 push loss","Layerwise train losses/Layer 3 topdown loss","Layerwise train losses/Layer 4 decorr loss","Layerwise train losses/Layer 4 pull loss","Layerwise train losses/Layer 4 push loss","Layerwise train losses/Layer 4 topdown loss","Layerwise train losses/Layer 5 decorr loss","Layerwise train losses/Layer 5 pull loss","Layerwise train losses/Layer 5 push loss","Layerwise train losses/Layer 5 topdown loss","Layerwise train losses/Layer 6 decorr loss","Layerwise train losses/Layer 6 pull loss","Layerwise train losses/Layer 6 push loss","Layerwise train losses/Layer 6 topdown loss","Layerwise train losses/Layer 7 decorr loss","Layerwise train losses/Layer 7 pull loss","Layerwise train losses/Layer 7 push loss","Layerwise train losses/Layer 7 topdown loss","Layerwise validation losses/Final layer decorr loss","Layerwise validation losses/Final layer pull loss","Layerwise validation losses/Final layer push loss","Layerwise validation losses/Layer 1 decorr loss","Layerwise validation losses/Layer 1 pull loss","Layerwise validation losses/Layer 1 push loss","Layerwise validation losses/Layer 1 topdown loss","Layerwise validation losses/Layer 2 decorr loss","Layerwise validation losses/Layer 2 pull loss","Layerwise validation losses/Layer 2 push loss","Layerwise validation losses/Layer 2 topdown loss","Layerwise validation losses/Layer 3 decorr loss","Layerwise validation losses/Layer 3 pull loss","Layerwise validation losses/Layer 3 push loss","Layerwise validation losses/Layer 3 topdown loss","Layerwise validation losses/Layer 4 decorr loss","Layerwise validation losses/Layer 4 pull loss","Layerwise validation losses/Layer 4 push loss","Layerwise validation losses/Layer 4 topdown loss","Layerwise validation losses/Layer 5 decorr loss","Layerwise validation losses/Layer 5 pull loss","Layerwise validation losses/Layer 5 push loss","Layerwise validation losses/Layer 5 topdown loss","Layerwise validation losses/Layer 6 decorr loss","Layerwise validation losses/Layer 6 pull loss","Layerwise validation losses/Layer 6 push loss","Layerwise validation losses/Layer 6 topdown loss","Layerwise validation losses/Layer 7 decorr loss","Layerwise validation losses/Layer 7 pull loss","Layerwise validation losses/Layer 7 push loss","Layerwise validation losses/Layer 7 topdown loss","Loss/decorr_total_train_epoch","Loss/decorr_total_train_step","Loss/decorr_total_val","Loss/pull_total_train_epoch","Loss/pull_total_train_step","Loss/pull_total_val","Loss/push_total_train_epoch","Loss/push_total_train_step","Loss/push_total_val","Loss/topdown_total_train_epoch","Loss/topdown_total_train_step","Loss/topdown_total_val","Loss/train_loss_epoch","Loss/train_loss_step","Loss/val_loss","Manifold Metrics/global_radius","Manifold Metrics/mean_class_correlation","Manifold Metrics/mean_class_dim","Manifold Metrics/mean_class_radius","Performance/linear_readout_acc","Push Metrics/cosine_push","Push Metrics/kl_push","Push Metrics/swd_gaussian_push","Push Metrics/swd_hypercube_push","Push Metrics/swd_hypersphere_push","Push Metrics/uniformity_push","epoch","trainer/global_step","Tags"
"ext_detached_cbe_ag/lpl_local_top-down_errCorr_a2.0_2T","2","10","1","2","ext_detached_cbe_ag","7","false","true","1","false","false","false","2024-07-11T13:53:56.000Z","666","2024-07-11T14:05:02.000Z","l4eve2vs","-","finished","2024-07-11T14:05:02.000Z","-0.003157299710437655","11.155632972717283","0.03522167727351189","0.005880348850041628","1.3796074390411377","0.43493154644966125","0.026102423667907715","0.4100686013698578","1.330958127975464","0","0.016726931557059288","0.6567025184631348","0.7510443329811096","0","0.014350355602800846","0.7242151498794556","0.5994066596031189","0","0.01011713221669197","0.8372758030891418","0.5730023384094238","0","0.0087889414280653","0.9323638677597046","0.5180225372314453","0","0.01673954911530018","2.515939950942993","-0.10505198687314989","0","","","","","0.004393326118588448","1.2545154094696045","0.5299073457717896","0.026536932215094566","0.4170556664466858","1.3139407634735107","0","0.01674341969192028","0.6661456823348999","0.7412344217300415","0","0.011571713723242285","0.6757596731185913","0.6738035678863525","0","0.008823401294648647","0.8026418089866638","0.622748851776123","0","0.007180912885814905","0.8822851777076721","0.5849364399909973","0","0.012389658018946648","2.301528215408325","-0.007368295919150114","0","","","","","0.9870570302009584","0.9572089314460754","0.876393735408783","7.456174373626709","7.354465484619141","6.999931812286377","4.1023149490356445","4.130289554595947","4.459203243255615","0","0","0","12.545541763305664","12.44196319580078","12.335528373718262","13.057244300842283","0.9812099933624268","94.08541870117188","0.981694519519806","0.3824","0.7936009764671326","1.5189050436019895","2.7206196784973145","2.54638147354126","0.0026162390131503344","-0.43538105487823486","21","1729",""
"ext_detached_cbe/lpl_local_top-down_errCorr_a5.0_1T","5","10","1","1","ext_detached_cbe","69","false","true","1","false","false","false","2024-07-11T13:26:06.000Z","647","2024-07-11T13:36:53.000Z","27wv6qrr","-","finished","2024-07-11T13:36:53.000Z","-0.0010429684771224856","32.689693450927734","0.03409431874752045","0.005474185571074486","1.838060736656189","0.3250715434551239","0.026377100497484207","0.421924889087677","1.3108270168304443","0","0.014900784008204935","0.6904951930046082","0.7458196878433228","0","0.01296977698802948","0.751520574092865","0.6004443168640137","0","0.009784478694200516","0.8462418913841248","0.5900717973709106","0","0.010396115481853483","1.0744465589523315","0.4210463464260102","0","0.04114418476819992","3.6830615997314458","-0.4155491590499878","0","","","","","0.005534088239073753","1.8732060194015503","0.3104023039340973","0.026685819029808044","0.4202746450901031","1.3010892868041992","0","0.015860261395573616","0.7282479405403137","0.6938877701759338","0","0.012035530991852283","0.7266456484794617","0.6305956840515137","0","0.010443972423672676","0.8969354629516602","0.5286151766777039","0","0.010375863872468472","1.0998365879058838","0.4041285216808319","0","0.04305469989776611","3.808022737503052","-0.456464558839798","0","","","","","1.210465908050537","1.2795748710632324","1.239902377128601","9.305752754211426","9.291265487670898","9.553168296813965","3.5777316093444824","3.3848226070404053","3.4122538566589355","0","0","0","14.09394645690918","13.955663681030272","14.20532512664795","13.81250286102295","0.9716067314147948","101.81268310546876","0.98296719789505","0.3148","0.6187997460365295","0.8031096458435059","1.393089771270752","1.2490273714065552","0.002101984340697527","-0.8519238829612732","24","1969",""
"ext_detached_cbe/lpl_local_top-down_errCorr_a2.5_1T","2.5","10","1","1","ext_detached_cbe","69","false","true","1","false","false","false","2024-07-11T12:55:56.000Z","1649","2024-07-11T13:23:25.000Z","v7lrzsn6","-","finished","2024-07-11T13:23:25.000Z","-0.005770855117589235","14.595459938049316","0.0842282846570015","0.017527766525745392","0.6780811548233032","0.44644227623939514","0.02354629337787628","0.501604437828064","1.0964475870132446","0","0.01441822201013565","0.6937793493270874","0.6470044255256653","0","0.01311050821095705","0.7379556894302368","0.45423296093940735","0","0.01156873255968094","0.7919629812240601","0.4149766266345978","0","0.014340592548251152","0.7115329504013062","0.4183551967144013","0","0.014785239472985268","0.7351868748664856","0.42522501945495605","0","","","","","0.012737282551825048","0.6258406043052673","0.5545913577079773","0.024505510926246643","0.5180392861366272","1.0771890878677368","0","0.015057914890348911","0.7202943563461304","0.6195271611213684","0","0.010434506461024284","0.6930438876152039","0.5414076447486877","0","0.011027034372091292","0.780382513999939","0.43629327416419983","0","0.012953413650393486","0.6971524953842163","0.4491019546985626","0","0.012238610535860062","0.7066624760627747","0.478025496006012","0","","","","","1.0929735898971558","1.2352701425552368","0.9895427823066713","4.850104331970215","5.303615570068359","4.741415023803711","3.902683973312378","3.418698787689209","4.1561360359191895","0","0","0","9.845760345458984","9.957585334777832","9.887094497680664","13.62289047241211","0.9774105548858644","15.591513633728027","0.9584425091743468","0.4973","0.8983034491539001","3.380120038986206","6.478417873382568","6.33275842666626","0.00302085536532104","-0.20658934116363523","63","4999",""
"ext_detached_cbe/lpl_local_top-down_errCorr_a2.0_1T","2","10","1","1","ext_detached_cbe","69","false","true","1","false","false","false","2024-07-11T12:28:01.000Z","1661","2024-07-11T12:55:42.000Z","jykm6jyi","-","finished","2024-07-11T12:55:42.000Z","-0.006541457027196884","13.03961181640625","0.08529806137084961","0.017995484173297882","0.6808502674102783","0.42781439423561096","0.02354629337787628","0.5016043186187744","1.0964477062225342","0","0.014749704860150814","0.6894289255142212","0.6606132388114929","0","0.0134388143196702","0.7293457388877869","0.4624119997024536","0","0.01183368731290102","0.7762796878814697","0.415692538022995","0","0.014624051749706268","0.7202243804931641","0.40022045373916626","0","0.015263454057276247","0.7299429774284363","0.4062606990337372","0","","","","","0.016001222655177116","0.6748383045196533","0.4475606083869934","0.024505510926246643","0.5180392861366272","1.0771892070770264","0","0.01532225962728262","0.7109668254852295","0.6371811628341675","0","0.01167569775134325","0.7064782977104187","0.5114820003509521","0","0.010101240128278732","0.7418023347854614","0.4710704088211059","0","0.012297955341637136","0.6848343014717102","0.4596961438655853","0","0.013726803474128246","0.7116429805755615","0.439297080039978","0","","","","","1.1145150661468506","1.209381937980652","1.036306858062744","4.827676773071289","5.240466594696045","4.748602867126465","3.869461059570313","3.455169439315796","4.0434770584106445","0","0","0","9.811653137207031","9.905017852783203","9.828386306762695","14.213610649108888","0.974498689174652","15.27123737335205","0.9573556184768676","0.5052","0.8847028613090515","3.139871597290039","6.047689914703369","5.9187493324279785","0.0029621203429996967","-0.23523163795471191","63","4999",""
"ext_detached_cbe/lpl_local_top-down_errCorr_a1.5_1T","1.5","10","1","1","ext_detached_cbe","69","false","true","1","false","false","false","2024-07-11T12:00:02.000Z","1665","2024-07-11T12:27:47.000Z","3xsdr0mz","-","finished","2024-07-11T12:27:47.000Z","-0.003951134160161018","19.35322952270508","0.07646720856428146","0.017033493146300316","0.6872166991233826","0.4397983253002167","0.02354629337787628","0.501604437828064","1.0964475870132446","0","0.014975840225815771","0.6854743361473083","0.6754361987113953","0","0.01367521658539772","0.7222968339920044","0.47880446910858154","0","0.01189397368580103","0.7776245474815369","0.41974225640296936","0","0.01430733036249876","0.7256457209587097","0.407405138015747","0","0.01487734355032444","0.7349590063095093","0.4182412922382355","0","","","","","0.017372658476233482","0.7203257083892822","0.40244239568710327","0.024505509063601497","0.5180392861366272","1.0771890878677368","0","0.01500286441296339","0.6973262429237366","0.6661476492881775","0","0.013582088984549046","0.7315199971199036","0.4755558967590332","0","0.011196055449545383","0.7704541683197021","0.4358680248260498","0","0.012914794497191906","0.7159393429756165","0.43236488103866577","0","0.01472904533147812","0.7501935362815857","0.4057210087776184","0","","","","","1.1030950546264648","1.119350552558899","1.0930300951004028","4.8348212242126465","5.100100994110107","4.903798580169678","3.935875654220581","3.755573749542236","3.895289421081543","0","0","0","9.873791694641112","9.975025177001951","9.892117500305176","14.357769966125488","0.9750046133995056","15.819113731384276","0.963358461856842","0.4964","0.8759211897850037","2.9337198734283447","5.627080917358398","5.510923385620117","0.002924074186012149","-0.25361278653144836","63","4999",""
"ext_detached_cbe/lpl_local_top-down_errCorr_a1.0_1T","1","10","1","1","ext_detached_cbe","69","false","true","1","false","false","false","2024-07-11T11:30:10.000Z","1688","2024-07-11T11:58:18.000Z","80ma7hwy","-","finished","2024-07-11T11:58:18.000Z","-0.004908285103738308","15.846229553222656","0.07777781039476395","0.01719922013580799","0.6855533719062805","0.4443473815917969","0.02354629337787628","0.501604437828064","1.0964475870132446","0","0.015114412643015385","0.6813798546791077","0.693732500076294","0","0.014118117280304432","0.7122424840927124","0.4953460395336151","0","0.012184067629277706","0.7672362923622131","0.4295004904270172","0","0.014405460096895696","0.7182347774505615","0.4225282967090606","0","0.01485145092010498","0.7242283225059509","0.4295469224452973","0","","","","","0.014017769135534763","0.6558741927146912","0.5032092928886414","0.024505510926246643","0.5180392861366272","1.0771892070770264","0","0.01492929644882679","0.6913391351699829","0.6888283491134644","0","0.013064032420516014","0.699146032333374","0.5269056558609009","0","0.011242806911468506","0.7498851418495178","0.4614207446575165","0","0.012543216347694395","0.6913431882858276","0.47066113352775574","0","0.012517830356955528","0.6975736618041992","0.47883710265159607","0","","","","","1.1141901016235352","1.1564875841140747","1.0282046794891355","4.7904791831970215","5.113656520843506","4.703199863433838","4.011448860168457","3.768864870071411","4.2070512771606445","0","0","0","9.916119575500488","10.03900909423828","9.938457489013672","13.509994506835938","0.9726844429969788","16.662460327148438","0.96149742603302","0.4881","0.864751935005188","2.4298510551452637","4.565503120422363","4.413305282592773","0.002882117871195078","-0.2772146761417389","63","4999",""
"ext_detached_cbe/lpl_local_top-down_errCorr_a0.7_1T","0.7","10","1","1","ext_detached_cbe","69","false","true","1","false","false","false","2024-07-11T11:02:38.000Z","1639","2024-07-11T11:29:57.000Z","aj0umnpo","-","finished","2024-07-11T11:29:57.000Z","-0.005873756483197212","13.92255687713623","0.08177770674228668","0.016269970685243607","0.6823851466178894","0.4640396237373352","0.02354629337787628","0.501604437828064","1.0964475870132446","0","0.015061992220580578","0.6821356415748596","0.7052037715911865","0","0.014617672190070152","0.7020611763000488","0.5186618566513062","0","0.012184645980596542","0.7604722380638123","0.4443166255950928","0","0.013900429010391235","0.7161480188369751","0.44086605310440063","0","0.014454004354774952","0.7213785648345947","0.44329556822776794","0","","","","","0.013656402938067911","0.6600145101547241","0.5120777487754822","0.024505510926246643","0.5180392861366272","1.0771889686584473","0","0.014784361235797404","0.6858905553817749","0.708349347114563","0","0.014226443134248257","0.7052323222160339","0.5247189402580261","0","0.012528251856565475","0.7835397720336914","0.4227381944656372","0","0.0127439983189106","0.708565354347229","0.46272027492523193","0","0.011761241592466831","0.6938539743423462","0.5005638003349304","0","","","","","1.1003501415252686","1.1450834274291992","1.0420620441436768","4.7661848068237305","4.99705171585083","4.755136013031006","4.1128315925598145","3.888582229614258","4.208357334136963","0","0","0","9.979365348815918","10.030716896057127","10.005555152893066","11.661415100097656","0.968923032283783","16.881744384765625","0.958694875240326","0.4874","0.8554253578186035","1.8831788301467896","3.322115898132324","3.0996322631835938","0.002843259833753109","-0.2968946695327759","63","4999",""
"ext_detached_cbe/lpl_local_top-down_errCorr_a0.5_1T","0.5","10","1","1","ext_detached_cbe","69","false","true","1","false","false","false","2024-07-11T10:35:45.000Z","1600","2024-07-11T11:02:25.000Z","u4r8kyna","-","finished","2024-07-11T11:02:25.000Z","-0.005358724854886532","14.444974899291992","0.07740664482116699","0.016114896163344383","0.6690035462379456","0.4988224506378174","0.023546291515231133","0.5016043186187744","1.096447467803955","0","0.015073908492922785","0.6814327836036682","0.7189728021621704","0","0.01483321748673916","0.6901159286499023","0.5443289875984192","0","0.012194551527500153","0.7554593086242676","0.4600030183792114","0","0.013668950647115707","0.7116597890853882","0.45859643816947937","0","0.014705665409564972","0.7174477577209473","0.4605538845062256","0","","","","","0.01053001917898655","0.6005709171295166","0.6262527704238892","0.024505510926246643","0.5180392861366272","1.0771892070770264","0","0.015163510106503963","0.690047562122345","0.7126430869102478","0","0.01552566234022379","0.7094401121139526","0.5236521363258362","0","0.01268952526152134","0.7845862507820129","0.430102676153183","0","0.012540106661617756","0.7099789977073669","0.47321680188179016","0","0.010374754667282104","0.6673717498779297","0.5521673560142517","0","","","","","1.101374626159668","1.177289962768555","1.0132907629013062","4.7267231941223145","4.987895488739014","4.68003511428833","4.237724781036377","3.9127676486968994","4.395224571228027","0","0","0","10.065823554992676","10.077953338623049","10.08854866027832","9.89339542388916","0.9723812937736512","17.54926872253418","0.9613953232765198","0.4778","0.8555014133453369","1.55841326713562","2.5225863456726074","2.230787754058838","0.002842459362000227","-0.2969200313091278","63","4999",""
"ext_detached_cbe/lpl_local_top-down_errCorr_a0.3_1T","0.3","10","1","1","ext_detached_cbe","69","false","true","1","false","false","false","2024-07-11T10:08:28.000Z","1623","2024-07-11T10:35:31.000Z","ragi08u4","-","finished","2024-07-11T10:35:31.000Z","-0.006474101450294256","13.250055313110352","0.08578220009803772","0.015559950843453407","0.6693676114082336","0.49587610363960266","0.023546291515231133","0.501604437828064","1.0964475870132446","0","0.01501735020428896","0.6807822585105896","0.7312152981758118","0","0.015464027412235737","0.684679388999939","0.5530125498771667","0","0.012817607261240482","0.7628237009048462","0.4465540647506714","0","0.014131661504507065","0.7266393899917603","0.4376284182071686","0","0.014168119058012962","0.7217559814453125","0.4583100080490112","0","","","","","0.018193038180470467","0.7664661407470703","0.3746433854103088","0.024505509063601497","0.5180392861366272","1.0771892070770264","0","0.01514994166791439","0.6881322860717773","0.7267600297927856","0","0.016809357330203056","0.7184961438179016","0.5116455554962158","0","0.015185191296041012","0.8302050828933716","0.36623653769493103","0","0.018249990418553352","0.8277843594551086","0.3111673593521118","0","0.0171445794403553","0.8268192410469055","0.33223581314086914","0","","","","","1.1070500612258911","1.0050923824310305","1.2523760795593262","4.747652530670166","4.646478652954102","5.175942420959473","4.219044208526611","4.500449180603027","3.6998777389526367","0","0","0","10.07374668121338","10.152020454406738","10.128195762634276","10.59259033203125","0.9732920527458192","16.878652572631836","0.9564291834831238","0.4775","0.8656992316246033","1.7985085248947144","3.0462112426757812","2.7797839641571045","0.002884271554648876","-0.27519285678863525","63","4999",""
"ext_detached_cbe/lpl_local_top-down_errCorr_a0.2_1T","0.2","10","1","1","ext_detached_cbe","69","false","true","1","false","false","false","2024-07-11T09:33:56.000Z","2057","2024-07-11T10:08:13.000Z","dxoohas4","-","finished","2024-07-11T10:08:13.000Z","-0.006294866092503071","13.91160488128662","0.08757168799638748","0.015383769758045672","0.6674510836601257","0.5132882595062256","0.02354629337787628","0.5016043782234192","1.096447467803955","0","0.01482918206602335","0.6830776333808899","0.7373064160346985","0","0.015623804181814194","0.6823168396949768","0.5702455639839172","0","0.012779000215232372","0.7592148184776306","0.4619974493980408","0","0.013921036384999752","0.7268426418304443","0.4573564529418946","0","0.014275182969868183","0.7241491079330444","0.4716165363788605","0","","","","","0.015257216058671474","0.7100329399108887","0.46046900749206543","0.02450551651418209","0.5180392861366272","1.0771892070770264","0","0.015101996250450613","0.6938436627388","0.7268680930137634","0","0.01682206615805626","0.711292564868927","0.5345115065574646","0","0.014490141533315182","0.8077901601791382","0.4034374952316284","0","0.016497289761900902","0.7921035289764404","0.3655984103679657","0","0.013747398741543291","0.7615081071853638","0.43172603845596313","0","","","","","1.1035828590393066","1.0612387657165527","1.164216160774231","4.744656562805176","4.761162281036377","4.994609832763672","4.308258533477783","4.383876800537109","3.999799966812134","0","0","0","10.156498908996582","10.20627784729004","10.158625602722168","9.608912467956545","0.964402437210083","17.446535110473633","0.9554044008255004","0.4679","0.8316844701766968","1.3779069185256958","2.086939811706543","1.7837624549865725","0.0027568757068365812","-0.34804096817970276","63","4999",""
